Data Komentar Balasan (Edge/Reply Nodes),,,,,,,,,,,,,
ID Unik,Jenis Konten,Tautan Konten,Username,Teks Konten,Sentimen,Jumlah Views,Jumlah Likes,Jumlah Komentar,Jumlah Shares,Tahun,Balasan ID Komentar,Platform,Lokasi
T086,Komentar Balasan,https://vt.tiktok.com/ZSPfEYWcB/,Hasannasution,@Hasannasution: lagi ngerasain banget lulusan baru belum ada pengalaman terus lagi pandemi jadi susah dapet kerja semangat semua temen temen yang lagi berjuang 🥺🙏,,,80,3,,2021,T09,TikTok,Indonesia
T087,Komentar Balasan,https://vt.tiktok.com/ZSPfoK14B/,kiyo🎱🐆🍒,@kiyo🎱🐆🍒: test bumn tu gmna ka??,,,20,26,,2021,T10,TikTok,Indonesia
T088,Komentar Balasan,https://vt.tiktok.com/ZSPfoK14B/,ilypo,@ilypo: buat sarjana pendidikan mending mundur aja masuk bumn😌😌 gk formasinya😬,,,16,8,,2021,T10,TikTok,Indonesia
T089,Komentar Balasan,https://vt.tiktok.com/ZSPfoK14B/,nurrrrr,"@nurrrrr: kak bahas toefl dongggg, please🥺",,,20,10,,2021,T10,TikTok,Indonesia
T090,Komentar Balasan,https://vt.tiktok.com/ZSPfoK14B/,yolafza,"@yolafza: kak, untuk prodi pendidikan bisa ga sih masuk BUMN 🥺",,,4,4,,2021,T10,TikTok,Indonesia
T091,Komentar Balasan,https://vt.tiktok.com/ZSPPeyW7d/,Ririe,"@Ririe: tahun berapa itu, UMK Batam sekrg 4,2jt",,,119,10,,2022,T11,TikTok,Indonesia
T092,Komentar Balasan,https://vt.tiktok.com/ZSPPeyW7d/,MuhamadFahrii,@MuhamadFahrii: karawang pabrik elit loker sulitt,,,7,2,,2022,T11,TikTok,Indonesia
T093,Komentar Balasan,https://vt.tiktok.com/ZSPPeyW7d/,Adi Handiwardoyo Tan,@Adi Handiwardoyo Tan: sedihnya gw yg umr jogja😂,,,6,4,,2022,T11,TikTok,Indonesia
T094,Komentar Balasan,https://vt.tiktok.com/ZSPPeyW7d/,Anting Mutiara Dewi 🐾,@Anting Mutiara Dewi 🐾: kerja di jogja menangis melihat ini 🥺,,,5,1,,2022,T11,TikTok,Indonesia
T095,Komentar Balasan,https://vt.tiktok.com/ZSPP8RASY/,V60🍶,"@V60🍶: ada orang dalam, lu aman 😂",,,5942,70,,2022,T12,TikTok,Indonesia
T096,Komentar Balasan,https://vt.tiktok.com/ZSPP8RASY/,a,@a: jangan bilang masih muda gamau kerja kadang orang gatau sulit nya dia berusaha mencari kerja,,,4624,53,,2022,T12,TikTok,Indonesia
T097,Komentar Balasan,https://vt.tiktok.com/ZSPP8RASY/,daddd,"@daddd: yg punya org dalem, lagi rebahan di rmh",,,1988,30,,2022,T12,TikTok,Indonesia
T098,Komentar Balasan,https://vt.tiktok.com/ZSPP8RASY/,clocktime,"@clocktime: pen cpet2 lulus biar bisa kerja udh mls d fase skolah,ucap anak yg blm tau dunia luar😂",,,1675,20,,2022,T12,TikTok,Indonesia
T099,Komentar Balasan,https://vt.tiktok.com/ZSPPLBBEL/,@nw💌,@@nw💌: yallah semoga mas dan mba semuanya cepet dpt kerja aamiin,,,3122,31,,2022,T13,TikTok,Indonesia
T100,Komentar Balasan,https://vt.tiktok.com/ZSPPLBBEL/,yazzil,"@yazzil: Aku yg sering ngeluh pas mau brangkat kerja,ngeliat ini jadi terharu dan berasa bersyukur bgt sama hidup ku sekarang,makasih ya Allah",,,1146,15,,2022,T13,TikTok,Indonesia
