DATA EKSTERNAL (DATA MEDIA SOSIAL) TIKTOK,,,,,,,,,,,,,
DATA KONTEN UTAMA DAN BALASAN KOMENTAR,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data Postingan Utama (Content Nodes),,,,,,,,,,,,,
ID Unik,Jenis Konten,Tautan Konten,Username,Teks Konten,Sentimen,Jumlah Views,Jumlah Likes,Jumlah Komentar,Jumlah Shares,Tahun,Balasan ID Komentar,Platform,Lokasi
T42,Postingan Utama,https://vt.tiktok.com/ZSPPsC2CK/,tan_346,Quarter life crisis,,160100,27400,1066,600,2025,,TikTok,Indonesia
T43,Postingan Utama,https://vt.tiktok.com/ZSPPG6os6/,kitanantara,Melaporkan indonesia menjadi nehara dengan pengangguran terbanyak,,877200,57300,5631,7726,2025,,TikTok,Indonesia
T44,Postingan Utama,https://vt.tiktok.com/ZSPPt5daP/,diniramadhaini,Juara masukin loker ke aplikasi jobstreet ga pernah ada yang di panggil,,296600,18500,670,542,2025,,TikTok,Indonesia
T45,Postingan Utama,https://vt.tiktok.com/ZSPPnNqq8/,thepovlogy,Lebih dari 1 juta sarjana di indonesia jadi pengangguran,,229300,11600,1721,3890,2025,,TikTok,Indonesia
T46,Postingan Utama,https://vt.tiktok.com/ZSPPnsaU5/,irwandiferry,"Dipaksa menganggur, alih-alih membuka banyak lapangan pekerjaan",,256400,15300,900,464,2025,,TikTok,Indonesia
T47,Postingan Utama,https://vt.tiktok.com/ZSPPWNTeN/,namaakuhelmi,Ngerasa nyari kerja as freshgraduate makin sulit?,,134800,9359,205,2678,2025,,TikTok,Indonesia
T48,Postingan Utama,https://vt.tiktok.com/ZSPP7VN2C/,millenialzkece,"Banyak pengangguran di indonesia di sarankan kerja ke luar negri, kenapa?",,1700000,69800,2522,4627,2025,,TikTok,Indonesia
T49,Postingan Utama,https://vt.tiktok.com/ZSPPvNb66/,dj_donny,Menyederhanakan pekerja migran sebagai “budaya merantau” adalah ngawur dan tidak empati” karena di antaranya pergi karena tidak ada pilihan lain untuk menyambung hidup,,2000000,16800,6906,8096,2025,,TikTok,Indonesia
T50,Postingan Utama,https://vt.tiktok.com/ZSPPv4ens/,gabutmu3046,2025 hampir selesai semoga drama pengangguran ini akan berlalu,,185300,29200,323,1801,2025,,TikTok,Indonesia
T51,Postingan Utama,https://www.tiktok.com/@tempo.co/video/6823188790429928705?is_from_webapp=1&sender_device=pc&web_id=7541603112566588935,tempo.co,"Pandemi Covid-19 membuat pengangguran harus putar otak. Salah satunya Tio, perantau dari Semarang.",,390300,4293,12,26,2020,,TikTok,Indonesia
T52,Postingan Utama,https://www.tiktok.com/@hey.maretchu/video/6884054346682666242?is_from_webapp=1&sender_device=pc&web_id=7541603112566588935,hey.maretchu,Saat pandemi Alfamart masih buka lowongan kok temen-temen.,,22800,441,29,37,2020,,TikTok,Indonesia
T53,Postingan Utama,https://www.tiktok.com/@sicepatekspres/video/6908719936525389057?is_from_webapp=1&sender_device=pc&web_id=7541603112566588935,sicepatekspres,Ini nih buat yang tanya syarat melamar kerja di SiCepat 🥰,,1586000,5814,278,379,2020,,TikTok,Indonesia
T54,Postingan Utama,https://www.tiktok.com/@sweaterpolos.id/video/6911687823577959682?is_from_webapp=1&sender_device=pc&web_id=7541603112566588935,sweaterpolos.id,kerja di @sweaterpolos.id !😍 jgn lupa duet in & mention ya,,4464000,376000,106,2162,2020,,TikTok,Indonesia
T55,Postingan Utama,https://www.tiktok.com/@estehindonesia/video/6901580065444809985?is_from_webapp=1&sender_device=pc&web_id=7541603112566588935,estehindonesia,Ditunggu e-mailnya yah! Semoga bisa menjadi bagian dari Esteh Indonesia🤗,,1100000,526000,1400,3076,2020,,TikTok,Indonesia
T56,Postingan Utama,https://www.tiktok.com/@ussindonesia/video/6903858515912232194?is_from_webapp=1&sender_device=pc&web_id=7541603112566588935,ussindonesia,Buat kalian yang lagi cari kerjaan!,,2039000,161000,445,342,2020,,TikTok,Indonesia
T57,Postingan Utama,https://www.tiktok.com/@mscosmeticofficial/video/6906677324645780737?is_from_webapp=1&sender_device=pc&web_id=7541603112566588935,mscosmeticofficial,YUK buruan kirim CV dan DUETIN video ini yaa😍,,7102000,389000,998,1230,2020,,TikTok,Indonesia
T58,Postingan Utama,https://www.tiktok.com/@riffasancati/video/6903479863009824002?is_from_webapp=1&sender_device=pc&web_id=7541603112566588935,riffasancati,The sad truth in 2020🥺,,807000,1646,27,57,2020,,TikTok,Indonesia
T59,Postingan Utama,https://www.tiktok.com/@mrs_nyuph/video/6899654974368713986?is_from_webapp=1&sender_device=pc&web_id=7541603112566588935,mrs_nyuph,Lowongan Kerja BUMN November 2020,,1283000,4564,38,275,2020,,TikTok,Indonesia
T60,Postingan Utama,https://www.tiktok.com/@dedejummia/video/6876485090935901441?is_from_webapp=1&sender_device=pc&web_id=7541603112566588935,dedejummia,JANGAN DI SKIP buat kalian yang udah lolos #prakerja #prakerja2020 semoga membantu 🙏,,3564000,7037,506,292,2020,,TikTok,Indonesia
T61,Postingan Utama,https://www.tiktok.com/@mudacumasekali/video/6772116083567594754?is_from_webapp=1&sender_device=pc&web_id=7541603112566588935,mudacumasekali,Ati ati nganggur ,,221000,596,48,112,2019,,TikTok,Indonesia
T62,Postingan Utama,https://www.tiktok.com/@icaaca_zz/video/6685243189613432065?is_from_webapp=1&sender_device=pc&web_id=7541603112566588935,icaaca_zz,benerbener susah pengangguran 2019 ini mahh,,1813000,15000,239,33,2019,,TikTok,Indonesia
